trap	Sum_Length
1	6.660848573
2	2.310575078
3	3.730562426
4	2.406289364
5	3.380952938
6	2.068734388
7	2.690640934
8	3.622467037
9	3.91924604
10	3.78174982
11	3.692769065
12	1.743904725
13	2.920191194
14	2.51258773
15	1.859552058
16	2.885512146
17	1.967764844
18	6.05955324
19	6.386602957
20	6.490028505
21	1.491335524
22	6.185697503
23	9.175133215
24	11.77300494
25	4.345021216
26	2.568549012
27	5.633179105
28	2.781598738
29	3.508685566
30	3.475798181
31	3.676225877
32	1.207165214
33	3.63467375
34	2.819190198
35	2.890670727
36	2.943519586
37	3.029007783
38	0.303994867
39	10.42901556
40	7.699731379
41	10.99068674
42	13.54063753
43	14.4040621
44	8.209130343
45	3.198848455
46	1.438479721
47	9.078065111
48	10.24561027
49	4.732521378
50	10.84076429
51	10.31363101
52	10.17453161
53	12.65741274
54	11.8741264
55	10.85059152
56	3.226250147
57	5.170974078
58	3.12977021
59	3.994537912
60	3.896887925
61	3.848493993
62	0.066838171
63	4.280952064
64	3.629419054
65	3.863392384
66	1.921132523
67	1.173708901
68	0.288280025
69	3.634492367
70	5.414258938
71	9.439031059
72	10.02244272
73	2.969660416
74	9.815468127
75	9.602616389
76	4.432440087
77	6.637268323
78	3.389980694
79	13.29992509
80	4.490353229
81	15.63413926
82	9.980206807
83	7.334288824
84	5.703176403
85	14.00117502
86	6.793143417
87	11.35854328
88	8.929406871
89	18.6097124
90	10.47537985
91	15.21847927
92	10.79397339
93	22.05500188
94	8.770100518
95	5.469820952
96	10.93434495
97	8.840374468
98	0.848975046
99	8.953242363
100	6.530375859
101	13.11561293
102	11.80714938
103	12.34863222
104	5.107007745
105	2.763921775
106	5.232955586
107	5.075953529
108	2.181628665
109	4.853656252
110	8.386197601
111	2.011507262
112	7.122698051
113	3.627601554
114	2.815851128
115	3.56609975
116	4.437542995
117	2.714982268
118	11.15921643
119	11.60579164
120	0.894595116
121	1.395731264
122	13.24091078
123	14.1862375
124	3.665309102
125	5.771189283
126	17.45031306
127	15.29616233
128	5.361308833
129	6.960844404
130	4.418734592
131	12.67350602
132	1.269528384
133	11.91184601
134	6.243202998
135	4.301021014
136	3.150591279
137	9.311681794
138	4.644423865
139	8.812514194
140	6.228827722
141	6.043578727
142	12.45423969
143	3.521956815
144	7.017897782
145	13.17432907
146	8.742681383
147	3.929516596
148	0.996111339
149	1.220609286
150	0.941369714
151	3.324312004
152	2.188258046
153	4.773485086
154	11.4748706
155	12.74806444
156	1.293362109
157	3.784327625
158	17.56918245
159	6.661804772
160	0.896016423
161	10.04839607
162	5.754036924
163	13.91047449
164	11.01107015
165	4.646475234
166	7.050804325
167	0.310595646
168	14.04957592
169	5.997580039
170	3.542955314
171	3.618787493
172	3.815531245
173	2.944264287
174	6.495709164
175	12.834891
176	3.926501299
177	14.23679115
178	7.619435696
179	6.519152097
180	7.190227755
181	4.406273727
182	4.999666709
183	0.748538548
184	4.986395593
185	3.293082412
186	3.104983016
187	3.749162285
188	8.058935525
189	2.440412986
190	2.075488947
191	3.007532677
192	1.223565138
193	6.692975879
194	1.516119606
195	16.21660782
196	12.70584318
197	12.15280571
198	5.928787614
199	6.998324277
200	9.401423666
201	9.657519964
202	3.465223733
203	8.696913199
204	15.41236122
205	4.453770503
206	7.663640414
207	3.579552747
208	9.353730562
209	10.73122985
210	10.65998528
211	14.18793613
212	12.16467157
213	8.118000495
214	11.23774082
215	14.14613424
216	5.452516809
217	12.10380405
218	7.563315632
219	5.68419538
220	8.041541823
221	3.193631455
222	0.489882844
223	0.564149692
224	3.451539182
225	3.547705167
226	0.928940235
227	7.88041405
228	6.95147612
229	6.500180573
230	3.022117212
231	7.399141618
232	1.569119472
233	5.851967646
234	3.763985514
235	0.385698527
236	2.585544387
237	6.179127471
238	13.11583662
239	9.399585236
240	11.92856688
241	11.40527544
242	5.305567176
243	7.581541997
244	9.759815111
245	12.9702711
246	7.023051623
247	11.17428341
248	5.308251775
249	0.983833312
250	10.85160877
251	3.424853528
