trap	Sum_Length
1	2.608580032
2	3.150363115
3	2.300992716
4	1.477978713
5	4.312431862
6	3.485562463
7	0.162288701
8	1.620514211
9	0.266283383
10	3.366553164
11	3.795219971
12	0.691889078
13	1.632852499
14	3.589412013
15	3.922982085
16	2.548230123
17	0.994928223
18	2.418280915
19	6.156462585
20	3.78768829
21	4.028482952
22	3.809288624
23	4.184477518
24	10.51693808
25	5.980466935
26	5.212108731
27	7.736646605
28	3.742408431
29	4.193549564
30	3.14608039
31	0.610229669
32	6.872480023
33	0.420353741
34	0.025465018
35	3.602160745
36	3.978786392
37	3.044223444
38	3.313930566
39	3.450907199
40	5.348344432
41	2.085526553
42	6.18443737
43	0.139581021
44	3.403728055
45	12.58732125
46	3.422757996
47	3.221567174
48	6.794262951
49	6.001752002
50	10.35851721
51	20.07189217
52	4.372294332
53	8.00226545
54	1.802885284
55	10.85306338
56	11.23957396
57	6.203060933
58	9.404780914
59	6.546533075
60	5.403975707
61	9.238410768
62	4.279383186
63	6.003045926
64	14.8839537
65	5.16347423
66	6.736249191
67	13.21500092
68	3.242540877
69	4.487930509
70	13.89256759
71	3.622354401
72	2.402799623
73	3.408043249
74	3.497419321
75	8.826178747
76	8.766824094
77	9.023910061
78	4.877688854
79	15.97652099
80	11.13085368
81	5.676944005
82	6.520536948
83	10.97243805
84	3.913193247
85	4.543513661
86	15.50691817
87	8.174209312
88	3.989026269
89	4.706114805
90	8.041467805
91	11.10818287
92	2.395968358
93	3.666352561
94	16.55301009
95	5.116992358
96	9.674097591
97	7.595143558
98	2.843913906
99	4.231682331
100	2.864329268
101	6.856692373
102	3.61558172
103	9.003045025
104	3.709742383
105	3.102422269
106	8.131546586
107	9.75217643
108	12.85357887
109	1.567980947
110	9.302679927
111	7.1552604
112	1.44627993
113	6.112637904
114	4.862087967
115	3.577180675
116	3.047722428
117	5.038988385
118	8.947391539
119	5.776332704
120	11.60773228
121	10.51425038
122	7.345781325
123	8.562983523
124	1.838460273
125	1.277403713
126	3.187923716
127	1.329351621
128	4.965747284
129	22.5783506
130	11.59477102
131	14.74120819
132	4.417647821
133	3.624024701
134	11.14890765
135	0.487429451
136	7.697106082
137	10.35095161
138	10.60627077
139	13.24943732
140	6.224301233
141	8.43843029
142	5.94646785
143	3.878438662
144	0.149558872
145	2.085721403
146	7.782446975
147	8.868434252
148	9.016247316
149	16.8271125
150	12.62890202
151	7.18436887
152	2.696423978
153	12.29756496
154	7.466704102
155	8.320517074
156	3.737484486
157	9.372925544
158	12.20091765
159	2.511655043
160	4.867426839
161	6.362408982
162	2.833841769
163	21.90622336
164	1.758323579
165	4.261233121
166	16.86075009
167	8.976855166
168	5.304882116
169	6.911836126
170	9.488365345
171	2.195175879
172	3.743394808
173	2.299771114
174	4.395321422
175	5.208929775
176	3.944150565
177	10.93557499
178	9.287752841
179	11.63069206
180	8.166005115
181	9.891462554
182	9.651366424
183	4.440015315
184	0.336739868
185	1.926185656
186	0.64069199
187	22.54538614
188	9.67299539
189	8.825475683
190	5.166412727
191	7.870621126
192	18.27910865
193	6.075448403
194	9.083045353
195	3.143309855
196	3.656875191
197	2.899317494
198	2.777005425
199	6.742900919
200	12.76976014
201	2.255491729
202	4.890713727
203	9.85586069
204	7.041889725
205	13.06071952
206	6.81631024
207	2.815800272
208	13.96409035
209	17.10562132
210	10.48342804
211	4.955894729
212	12.66328254
213	1.349103531
214	0.695771874
215	19.15301387
216	14.04955352
217	1.06847006
218	1.765426414
219	6.281701388
220	5.41428188
221	14.45365067
222	9.778096413
223	3.220412428
224	9.534389146
225	0.059300643
226	4.504940633
227	1.67645326
228	12.22739335
229	8.403612068
230	16.06617692
231	2.983276669
232	8.466016021
233	4.673872496
234	1.053141701
235	3.896554581
236	8.081261653
237	10.2485601
238	8.297691647
239	2.184409072
240	10.69229915
241	5.778705864
242	3.716975478
243	5.025743348
244	0.460304909
245	0.63383711
246	12.9140749
247	12.78266962
248	3.300141719
249	3.360633751
250	1.738234902
251	16.94318806
252	6.462531364
253	5.475392478
254	2.070452975
255	7.190317901
256	6.671075146
257	6.922402674
258	10.84731669
259	1.775488437
260	1.149043053
261	3.64792014
262	2.930096775
263	4.530746774
264	2.7299027
265	0.347102519
266	4.068046766
267	2.626152476
268	5.965037988
269	7.014543657
270	7.953491702
271	6.144113931
272	1.863562399
273	5.030892619
274	11.314463
275	10.12143405
276	2.110103864
277	6.171820122
278	7.006938002
279	3.519694042
280	4.552000615
281	5.820363248
282	2.983782916
283	7.083252452
284	11.55435815
285	7.81253871
286	6.206750473
287	18.10927827
288	12.70547262
289	11.54590657
290	10.20891129
291	4.272088823
292	1.778240718
293	8.178482276
294	4.438222227
295	1.84562319
296	4.965359011
297	1.797458226
298	5.389564725
299	17.82941689
300	1.13519277
301	6.962828486
302	8.848998359
303	10.38839131
304	13.27550472
305	2.75254797
306	6.279610348
307	14.40601466
308	6.566563567
309	4.97828972
310	8.294382324
311	2.780879663
312	5.926103134
313	7.57299668
314	1.440843206
315	9.366076946
316	9.990205822
317	4.983649849
318	1.543705995
319	2.922693859
320	8.7555539
321	8.371422638
322	3.947063749
323	4.783137052
324	13.79936259
325	3.261483742
326	6.009778084
327	12.30709489
328	19.36295664
329	9.799394158
330	4.007552098
331	11.75789007
332	4.916748365
333	1.023967171
334	2.928548547
335	4.212289711
336	3.528722869
337	1.311399205
338	5.444783128
339	11.8650713
340	7.554967701
341	12.85572374
342	6.056386919
343	5.922361788
344	10.0435961
345	6.480465005
346	4.616419801
347	5.116203239
348	2.940498823
349	0.988727493
350	4.106765283
351	11.59019249
352	4.171308394
353	2.410251097
354	8.911953197
355	3.663585362
356	8.732810397
357	10.32039644
358	4.277355756
359	4.417702836
360	2.75254598
361	0.258235953
362	7.574615831
363	9.755119351
364	3.577986096
365	8.021987328
366	4.227134019
367	11.48145228
368	1.690202651
369	6.53196808
370	4.22197183
371	6.680664071
372	4.046756656
373	9.011865137
374	20.62816106
375	2.301062307
376	4.036513539
377	10.46491856
378	10.46557918
379	11.31200891
380	14.80068723
381	3.203002092
382	7.56573963
383	2.116335783
384	0.86823493
385	2.139954389
386	3.725998912
387	12.53421928
388	12.2412178
389	6.328138255
390	2.543548935
391	4.719322704
392	4.229391129
393	1.443476296
394	9.573217731
395	5.632464299
396	7.538838773
397	10.62211598
398	3.154661285
399	3.076552107
400	12.33549667
401	3.598095763
402	3.006401796
403	7.38755216
404	9.291299316
405	14.20670666
406	15.01556674
407	1.98577619
408	14.16805161
409	6.8451594
410	6.300174667
411	22.17102703
412	14.9762723
413	14.60849098
414	4.800089823
415	3.954358568
416	3.910500987
417	5.835409976
418	2.109364577
419	23.07119927
420	5.289001368
421	3.550865323
422	8.171581383
423	5.704335055
424	0.996267322
425	6.902080715
426	1.319397969
427	5.791509807
428	3.074643934
429	5.804598681
430	1.609421693
431	5.218388992
432	2.964440077
433	6.642915223
434	4.802186058
435	8.813083813
436	5.86662084
437	8.796088674
438	10.92331845
439	7.464685963
440	3.181089431
441	4.545339208
442	4.000124839
443	3.781931715
444	15.87613216
445	6.202849318
446	4.688686053
447	9.563360199
448	12.23756202
449	2.767313116
450	4.292858626
451	2.820618346
452	25.28361717
453	3.63045337
454	2.401689193
455	10.93035261
456	16.60036972
457	9.880639141
458	13.35264405
459	6.355486765
460	1.849996021
461	1.678482914
462	5.045304898
463	4.017645778
464	5.784747937
465	2.953411492
466	6.364371158
467	15.81923894
468	3.686108852
469	3.734287564
470	2.580532681
471	2.888952323
472	8.406753866
473	5.843294265
474	9.121263565
475	7.302939581
476	2.505494082
477	14.28751316
478	6.879831405
479	5.770920502
480	7.17708665
481	2.802966876
482	2.295727845
483	13.40090131
484	8.785266206
485	5.957354118
486	0.879363469
487	26.34056443
488	1.448923768
489	4.298694858
490	8.218230812
491	25.18819971
492	9.164074219
493	1.438799376
494	4.21269166
495	2.516926657
496	0.382003729
497	6.164201283
498	10.0376312
499	12.23261702
500	6.725163307
501	3.448244461
502	2.113511673
503	3.599649117
504	1.993013681
505	6.5704147
506	2.659047984
507	7.325359049
508	11.37790357
509	17.15299994
510	15.99314246
511	0.319145333
512	0.478664468
513	8.633662618
514	5.831535749
515	3.625290394
516	9.646008683
517	3.590051364
518	13.75551034
519	4.558648449
520	2.230701539
521	34.09722896
522	1.99256514
523	3.178974168
524	16.76257866
525	3.663030408
526	3.734968701
527	4.587870272
528	7.83473557
529	4.552151994
530	3.526639223
531	4.767076145
532	7.837987664
533	6.39529673
534	7.966054224
535	1.736549802
536	1.544618852
537	3.50022927
538	9.027143908
539	3.190521392
540	4.938758677
541	2.828220924
542	6.925695458
543	7.143438882
544	3.1117676
545	5.569726244
546	8.688036763
547	10.56822362
548	3.57046679
549	7.529282705
550	7.854785327
551	6.021856757
552	1.405821223
553	4.326068674
554	25.7445551
555	11.31583016
556	4.312999776
557	6.182427277
558	8.967934538
559	14.06753639
560	15.68308366
561	9.71316032
562	3.875710999
563	3.05986556
564	3.7191986
565	6.079848666
566	12.71232338
567	10.81943353
568	12.91424892
569	1.874891347
570	1.573328077
571	9.042108703
572	5.672042099
573	13.14750747
574	12.1882277
575	3.692107755
576	3.44017567
577	9.821702698
578	10.02876649
579	7.777636785
580	9.941344503
581	3.511205721
582	15.59927146
583	13.58948461
584	10.169352
585	5.858337451
586	7.431923049
587	2.353439511
588	15.66516429
589	0.172203893
590	7.976480761
591	4.35171006
592	8.723207199
593	2.132233168
594	12.18946766
595	2.554195715
596	3.646331838
597	9.196242237
598	3.833137318
599	4.050430113
600	9.640698532
601	5.075643762
602	8.923652892
603	6.132819101
604	17.02577395
605	4.123895603
606	3.478611062
607	6.351011826
608	5.110048449
609	2.614601678
610	3.14392551
611	4.039477946
612	5.022744489
613	9.230284393
614	2.857571236
615	23.78938209
616	9.629008431
617	3.370752229
618	19.53291881
619	15.27795882
620	12.90682979
621	2.003718355
622	4.629937881
623	6.898223526
624	6.26425389
625	11.0987556
626	9.7665097
627	4.976134162
628	3.729594873
629	9.11226235
630	7.703908115
631	4.306864725
632	3.298351494
633	4.016849765
634	5.240883619
635	16.45646567
636	11.33123392
637	7.276550662
638	5.827055472
639	3.307065923
640	7.113146782
641	1.276930934
642	0.872776146
643	1.029034976
644	8.583108091
645	8.479258777
646	4.969859832
647	5.169173691
648	9.187117501
649	2.766441484
650	7.512624795
651	5.437996507
652	15.46897252
653	6.618779226
654	7.801519305
655	0.191136003
656	6.077994699
657	4.52817161
658	3.228186194
659	4.15283172
660	5.733675665
661	10.16504072
662	7.904105312
663	9.701912487
664	1.608194148
665	3.384528276
666	4.004514771
667	2.611964473
668	3.438028511
669	2.200347616
670	3.554065187
671	1.174106536
672	7.885757825
673	2.287371744
674	5.897895562
675	6.195434829
676	8.369797481
677	10.09381527
678	2.143176286
679	12.61605625
680	7.899587139
681	1.579038931
682	6.824027285
683	7.435793372
684	15.65693249
685	3.489176298
686	0.108020287
687	1.859500245
688	2.852243488
689	2.852297948
690	1.124389576
691	3.644069465
692	8.16895676
693	8.273794086
694	0.105877151
695	7.80646706
696	2.550744144
697	4.346980945
698	1.119939078
699	1.595114764
700	3.973102761
701	0.385507505
702	5.102329801
703	1.542602165
704	6.746063883
705	4.643064518
706	0.930865136
707	6.53363033
708	14.92444604
709	9.596949257
710	5.993625431
711	5.185960819
712	5.816611477
713	6.706476429
714	2.035086443
715	16.14281792
716	15.26974183
717	9.334986513
718	4.225784434
719	1.127276924
720	3.332685192
721	1.365358433
722	2.110664326
723	4.043822712
724	10.70469983
725	17.46757011
726	13.74436174
727	8.541237621
728	9.223590249
729	14.01679883
730	7.262993244
731	3.448981645
732	3.703251467
733	5.683477476
734	3.908363536
735	4.548469401
736	9.139882417
737	8.394464973
738	0.917521528
739	7.936963061
740	3.155258343
741	15.85336225
742	3.840085967
743	4.254671701
744	2.952687728
745	6.12732378
746	9.509779893
747	14.65740375
748	8.790905821
749	1.426265148
750	7.528828298
751	8.149168359
752	4.370340531
753	6.979989763
754	9.230712738
755	9.426516576
756	11.97875955
757	11.79693296
758	5.413103603
759	8.048034972
760	10.95382134
761	2.459708524
762	3.449477185
763	0.153246293
764	7.089869538
765	2.723825407
766	0.265057459
767	8.747744659
768	6.281295513
769	11.47447934
770	12.35379716
771	7.421878481
772	13.4248674
773	16.56003896
774	4.15132224
775	21.23981547
776	0.183547567
777	3.823608971
778	0.764653282
779	5.431193604
780	2.62111708
781	12.54534471
782	10.25220297
783	4.582317541
784	13.41387067
785	11.64801894
786	11.08641378
787	9.094606645
788	7.412991564
789	4.877952163
790	3.812320454
791	4.76902563
792	5.324728638
793	3.904766409
794	13.13405153
795	4.008543781
796	6.21191295
797	4.898512722
798	13.94631032
799	7.269082731
800	6.907401436
801	1.599421309
802	13.06244141
803	3.606926704
804	5.061430166
805	18.70970944
806	2.679833399
807	1.311997359
808	1.771188508
809	4.306144407
810	4.580698037
811	4.302537705
812	3.799260506
813	11.68354148
814	10.36707938
815	3.210470901
816	0.894490834
817	6.622770047
818	10.43999856
819	17.88394398
820	1.537432229
821	12.11684402
822	12.46996152
823	5.017249014
824	5.899834368
825	16.69335185
826	10.52961294
827	3.153871412
828	4.154053063
829	1.564226911
830	2.086455972
831	2.641549424
832	3.055867938
833	6.389478849
834	7.414453479
835	5.0735196
836	24.95064914
837	14.84358565
838	3.884066516
839	6.075416514
840	4.980488404
841	5.936103194
842	10.86562259
843	3.676301853
844	4.058989019
845	5.361392821
846	3.877055876
847	4.298429437
848	5.103106755
849	0.850190902
850	3.859353704
