#Session	individual	occasion	trapID	sex
1	ID119	1	7	f
1	ID127	1	49	f
1	ID120	1	21	m
1	ID068	1	42	f
1	ID094	1	47	f
1	ID117	1	36	m
1	ID097	1	55	m
1	ID067	1	39	f
1	ID118	1	37	f
1	ID090	1	71	f
1	ID001	1	75	f
1	ID121	1	83	f
1	ID007	1	89	m
1	ID022	1	101	m
1	ID008	1	73	m
1	ID019	1	83	f
1	ID126	1	85	f
1	ID076	1	99	f
1	ID133	1	105	m
1	ID009	1	123	f
1	ID008	1	76	m
1	ID073	1	133	f
1	ID130	1	131	f
1	ID072	1	131	m
1	ID101	1	177	f
1	ID009	1	122	f
1	ID096	1	165	m
1	ID007	1	162	m
1	ID079	1	180	m
1	ID129	1	162	f
1	ID128	1	160	m
1	ID132	1	174	f
1	ID021	1	172	m
1	ID009	1	156	f
1	ID013	1	198	m
1	ID001	1	191	f
1	ID125	1	158	f
1	ID015	1	193	f
1	ID077	1	211	m
1	ID093	1	196	f
1	ID015	1	238	f
1	ID071	1	247	f
1	ID095	1	244	f
1	ID078	1	260	f
1	ID013	1	241	m
1	ID015	1	239	f
1	ID124	1	287	f
1	ID134	1	301	f
1	ID102	1	305	f
1	ID092	1	287	f
1	ID137	1	316	m
1	ID136	1	312	f
1	ID098	1	290	m
1	ID011	1	325	m
1	ID135	1	340	m
1	ID010	1	358	f
1	ID099	1	356	f
1	ID012	1	387	m
1	ID002	1	352	f
1	ID074	1	362	f
1	ID010	1	383	f
1	ID002	1	377	f
1	ID075	1	420	f
1	ID004	1	428	f
1	ID004	1	429	f
1	ID131	1	436	m
1	ID091	1	431	m
1	ID100	1	434	m
1	ID069	1	432	f
1	ID004	1	428	f
1	ID070	1	449	f
1	ID012	1	448	m
1	ID011	1	457	m
1	ID122	1	458	m
1	ID005	1	456	m
1	ID005	1	464	m
1	ID005	1	461	m
1	ID016	1	467	f
1	ID016	1	468	f
#1	ID019	1	467	f
1	ID123	1	467	m
1	ID016	1	466	f
